State Code,Dist.Code,State,Area Name,No_HH,F_SC,M_ST,F_ST,M_LIT,M_ILL,MAINWORK_M,MAIN_CL_M,MAIN_AL_M,MAIN_HH_M,MARGWORK_M,MARG_HH_F,MARG_OT_F,MARGWORK_3_6_M,MARG_CL_3_6_M,MARG_CL_3_6_F,MARG_AL_3_6_M,MARG_AL_3_6_F,MARG_OT_3_6_M,MARG_OT_3_6_F,MARGWORK_0_3_F,MARG_CL_0_3_M,MARG_AL_0_3_F,MARG_HH_0_3_M,MARG_HH_0_3_F
1,1,Jammu & Kashmir,Kupwara,7707.0,0.0,1999.0,2598.0,13381.0,10007.0,2763.0,486.0,407.0,78.0,3960.0,244.0,1012.0,16665.0,2810.0,1728.0,439.0,343.0,110.0,198.0,798.0,1150.0,237.0,680.0,252.0
1,2,Jammu & Kashmir,Badgam,6218.0,6.0,427.0,517.0,10513.0,9072.0,4628.0,1098.0,442.0,538.0,2354.0,627.0,632.0,12603.0,1829.0,1752.0,261.0,432.0,293.0,449.0,472.0,525.0,229.0,186.0,148.0
1,3,Jammu & Kashmir,Leh(Ladakh),4452.0,6.0,5806.0,9723.0,4534.0,2012.0,1940.0,519.0,36.0,19.0,835.0,32.0,438.0,3771.0,721.0,1689.0,316.0,1161.0,15.0,28.0,377.0,114.0,89.0,3.0,34.0
1,4,Jammu & Kashmir,Kargil,1320.0,0.0,2666.0,3968.0,1842.0,942.0,491.0,35.0,8.0,9.0,511.0,43.0,205.0,1782.0,317.0,463.0,74.0,158.0,6.0,33.0,146.0,194.0,128.0,13.0,50.0
1,5,Jammu & Kashmir,Punch,11654.0,33.0,7670.0,10843.0,13243.0,7348.0,2523.0,743.0,254.0,35.0,3194.0,319.0,1575.0,14874.0,2320.0,3497.0,862.0,1419.0,38.0,214.0,1097.0,874.0,1043.0,205.0,302.0
1,6,Jammu & Kashmir,Rajouri,16345.0,4000.0,7796.0,11111.0,16471.0,8819.0,4210.0,1452.0,294.0,63.0,4981.0,213.0,2666.0,16099.0,3173.0,6196.0,1872.0,3684.0,40.0,142.0,1831.0,1808.0,1258.375,229.0,256.0
1,7,Jammu & Kashmir,Kathua,12510.0,6906.0,988.0,1311.0,16735.0,6058.0,7167.0,1549.0,557.0,83.0,2370.0,101.0,626.0,13256.0,1868.0,1432.0,439.0,586.0,40.0,82.0,487.0,502.0,283.0,133.0,120.0
1,8,Jammu & Kashmir,Baramula,9414.0,0.0,945.0,1180.0,14692.0,8268.0,5524.0,920.0,694.0,218.0,3733.0,345.0,940.0,13703.0,2884.0,1811.0,432.0,408.0,135.0,251.0,742.0,849.0,321.0,385.0,265.0
1,9,Jammu & Kashmir,Bandipore,3814.0,0.0,1749.0,2308.0,5820.0,4499.0,2696.0,422.0,426.0,410.0,2002.0,520.0,745.0,5621.0,1487.0,1766.0,227.0,392.0,234.0,376.0,502.0,515.0,280.0,218.0,234.0
1,10,Jammu & Kashmir,Srinagar,15095.0,3.0,200.0,237.0,25837.0,13177.0,15795.0,195.0,270.0,476.0,2801.0,481.0,2607.0,20418.0,2493.0,3041.0,151.0,256.0,107.0,347.0,2360.0,308.0,29.0,36.0,22.0
